---
title: Causes of Death in France from 1925 to 1999
source: The data is made available by INED <www.ined.fr> at
  <https://www.ined.fr/en/everything_about_population/data/online-databases/death_causes_since_1925/>
  The original data authors are Jacques Vallin <vallin@ined.fr> and France
  Meslé <mesle@ined.fr>.
variables:
    year : period calendar year
    sex  : -
    age  : age groups in years [a, b]
    cod  : cause of death category (ICD-9 code)
    dx   : number of deaths
note: The data was downloaded in June 2014 in the form of `html` tables made
  availabe by the INED web interface. It was then converted into `.csv` format
  and aggregated into the current form.
author: Jonas Schöley <jonas.schoeley@kolabnow.com>
date: 2015-08-19
...

year,sex,age,cod,dx
1931,male,30-34,780*-799*,300
1932,male,30-34,780*-799*,301
1933,male,30-34,780*-799*,337
1934,male,30-34,780*-799*,350
1935,male,30-34,780*-799*,439
1936,male,30-34,780*-799*,402
1937,male,30-34,780*-799*,441
1938,male,30-34,780*-799*,399
1939,male,30-34,780*-799*,419
1940,male,30-34,780*-799*,361
1941,male,30-34,780*-799*,296
1942,male,30-34,780*-799*,196
1943,male,30-34,780*-799*,155
1944,male,30-34,780*-799*,167
1945,male,30-34,780*-799*,143
1946,male,30-34,780*-799*,96
1947,male,30-34,780*-799*,70
1948,male,30-34,780*-799*,64
1949,male,30-34,780*-799*,41
1950,male,30-34,780*-799*,41
1951,male,30-34,780*-799*,58
1952,male,30-34,780*-799*,49
1953,male,30-34,780*-799*,64
1954,male,30-34,780*-799*,62
1955,male,30-34,780*-799*,74
1956,male,30-34,780*-799*,54
1957,male,30-34,780*-799*,55
1958,male,30-34,780*-799*,59
1959,male,30-34,780*-799*,63
1960,male,30-34,780*-799*,50
1961,male,30-34,780*-799*,45
1962,male,30-34,780*-799*,74
1963,male,30-34,780*-799*,64
1964,male,30-34,780*-799*,53
1965,male,30-34,780*-799*,44
1966,male,30-34,780*-799*,56
1967,male,30-34,780*-799*,42
1968,male,30-34,780*-799*,43
1969,male,30-34,780*-799*,46
1970,male,30-34,780*-799*,36
1971,male,30-34,780*-799*,34
1972,male,30-34,780*-799*,46
1973,male,30-34,780*-799*,15
1974,male,30-34,780*-799*,26
1975,male,30-34,780*-799*,28
1976,male,30-34,780*-799*,38
1977,male,30-34,780*-799*,24
1978,male,30-34,780*-799*,35
1979,male,30-34,780*-799*,29
1980,male,30-34,780*-799*,35
1981,male,30-34,780*-799*,33
1982,male,30-34,780*-799*,29
1983,male,30-34,780*-799*,47
1984,male,30-34,780*-799*,55
1985,male,30-34,780*-799*,40
1986,male,30-34,780*-799*,43
1987,male,30-34,780*-799*,45
1988,male,30-34,780*-799*,35
1989,male,30-34,780*-799*,35
1990,male,30-34,780*-799*,49
1991,male,30-34,780*-799*,37
1992,male,30-34,780*-799*,25
1993,male,30-34,780*-799*,32
1994,male,30-34,780*-799*,35
1995,male,30-34,780*-799*,25
1996,male,30-34,780*-799*,29
1997,male,30-34,780*-799*,34
1998,male,30-34,780*-799*,31
1999,male,30-34,780*-799*,26
1925,male,35-39,780*-799*,918
1926,male,35-39,780*-799*,770
1927,male,35-39,780*-799*,344
1928,male,35-39,780*-799*,333
1929,male,35-39,780*-799*,358
1930,male,35-39,780*-799*,332
1931,male,35-39,780*-799*,323
1932,male,35-39,780*-799*,334
1933,male,35-39,780*-799*,373
1934,male,35-39,780*-799*,460
1935,male,35-39,780*-799*,546
1936,male,35-39,780*-799*,518
1937,male,35-39,780*-799*,447
1938,male,35-39,780*-799*,480
1939,male,35-39,780*-799*,442
1940,male,35-39,780*-799*,530
1941,male,35-39,780*-799*,479
1942,male,35-39,780*-799*,299
1943,male,35-39,780*-799*,256
1944,male,35-39,780*-799*,260
1945,male,35-39,780*-799*,224
1946,male,35-39,780*-799*,167
1947,male,35-39,780*-799*,147
1948,male,35-39,780*-799*,119
1949,male,35-39,780*-799*,130
1950,male,35-39,780*-799*,93
1951,male,35-39,780*-799*,86
1952,male,35-39,780*-799*,67
1953,male,35-39,780*-799*,57
1954,male,35-39,780*-799*,52
1955,male,35-39,780*-799*,53
1956,male,35-39,780*-799*,61
1957,male,35-39,780*-799*,68
1958,male,35-39,780*-799*,67
1959,male,35-39,780*-799*,84
1960,male,35-39,780*-799*,68
1961,male,35-39,780*-799*,75
1962,male,35-39,780*-799*,92
1963,male,35-39,780*-799*,98
1964,male,35-39,780*-799*,95
1965,male,35-39,780*-799*,111
1966,male,35-39,780*-799*,95
1967,male,35-39,780*-799*,96
1968,male,35-39,780*-799*,94
1969,male,35-39,780*-799*,86
1970,male,35-39,780*-799*,85
1971,male,35-39,780*-799*,79
1972,male,35-39,780*-799*,69
1973,male,35-39,780*-799*,56
1974,male,35-39,780*-799*,49
1975,male,35-39,780*-799*,52
1976,male,35-39,780*-799*,61
1977,male,35-39,780*-799*,52
1978,male,35-39,780*-799*,46
1979,male,35-39,780*-799*,38
1980,male,35-39,780*-799*,41
1981,male,35-39,780*-799*,47
1982,male,35-39,780*-799*,64
1983,male,35-39,780*-799*,82
1984,male,35-39,780*-799*,61
1985,male,35-39,780*-799*,65
1986,male,35-39,780*-799*,67
1987,male,35-39,780*-799*,76
1988,male,35-39,780*-799*,57
1989,male,35-39,780*-799*,57
1990,male,35-39,780*-799*,60
1991,male,35-39,780*-799*,57
1992,male,35-39,780*-799*,57
1993,male,35-39,780*-799*,42
1994,male,35-39,780*-799*,54
1995,male,35-39,780*-799*,45
1996,male,35-39,780*-799*,42
1997,male,35-39,780*-799*,46
1998,male,35-39,780*-799*,48
1999,male,35-39,780*-799*,43
1925,male,40-44,780*-799*,1163
1926,male,40-44,780*-799*,988
1927,male,40-44,780*-799*,449
1928,male,40-44,780*-799*,447
1929,male,40-44,780*-799*,482
1930,male,40-44,780*-799*,416
1931,male,40-44,780*-799*,406
1932,male,40-44,780*-799*,407
1933,male,40-44,780*-799*,446
1934,male,40-44,780*-799*,480
1935,male,40-44,780*-799*,583
1936,male,40-44,780*-799*,568
1937,male,40-44,780*-799*,705
1938,male,40-44,780*-799*,746
1939,male,40-44,780*-799*,778
1940,male,40-44,780*-799*,698
1941,male,40-44,780*-799*,612
1942,male,40-44,780*-799*,399
1943,male,40-44,780*-799*,351
1944,male,40-44,780*-799*,345
1945,male,40-44,780*-799*,302
1946,male,40-44,780*-799*,234
1947,male,40-44,780*-799*,212
1948,male,40-44,780*-799*,186
1949,male,40-44,780*-799*,178
1950,male,40-44,780*-799*,157
1951,male,40-44,780*-799*,168
1952,male,40-44,780*-799*,127
1953,male,40-44,780*-799*,155
1954,male,40-44,780*-799*,135
1955,male,40-44,780*-799*,133
1956,male,40-44,780*-799*,118
1957,male,40-44,780*-799*,97
1958,male,40-44,780*-799*,63
1959,male,40-44,780*-799*,83
1960,male,40-44,780*-799*,77
1961,male,40-44,780*-799*,84
1962,male,40-44,780*-799*,125
1963,male,40-44,780*-799*,155
1964,male,40-44,780*-799*,168
1965,male,40-44,780*-799*,163
1966,male,40-44,780*-799*,157
1967,male,40-44,780*-799*,165
1968,male,40-44,780*-799*,172
1969,male,40-44,780*-799*,178
1970,male,40-44,780*-799*,145
1971,male,40-44,780*-799*,129
1972,male,40-44,780*-799*,117
1973,male,40-44,780*-799*,103
1974,male,40-44,780*-799*,89
1975,male,40-44,780*-799*,96
1976,male,40-44,780*-799*,96
1977,male,40-44,780*-799*,87
1978,male,40-44,780*-799*,80
1979,male,40-44,780*-799*,78
1980,male,40-44,780*-799*,85
1981,male,40-44,780*-799*,65
1982,male,40-44,780*-799*,72
1983,male,40-44,780*-799*,91
1984,male,40-44,780*-799*,61
1985,male,40-44,780*-799*,67
1986,male,40-44,780*-799*,71
1987,male,40-44,780*-799*,88
1988,male,40-44,780*-799*,71
1989,male,40-44,780*-799*,94
1990,male,40-44,780*-799*,80
1991,male,40-44,780*-799*,71
1992,male,40-44,780*-799*,82
1993,male,40-44,780*-799*,70
1994,male,40-44,780*-799*,72
1995,male,40-44,780*-799*,67
1996,male,40-44,780*-799*,71
1997,male,40-44,780*-799*,61
1998,male,40-44,780*-799*,78
1999,male,40-44,780*-799*,80
1925,male,45-49,780*-799*,1511
1926,male,45-49,780*-799*,1247
1927,male,45-49,780*-799*,581
1928,male,45-49,780*-799*,529
1929,male,45-49,780*-799*,592
1930,male,45-49,780*-799*,532
1931,male,45-49,780*-799*,512
1932,male,45-49,780*-799*,536
1933,male,45-49,780*-799*,597
1934,male,45-49,780*-799*,616
1935,male,45-49,780*-799*,717
1936,male,45-49,780*-799*,694
1937,male,45-49,780*-799*,715
1938,male,45-49,780*-799*,810
1939,male,45-49,780*-799*,966
1940,male,45-49,780*-799*,716
1941,male,45-49,780*-799*,606
1942,male,45-49,780*-799*,405
1943,male,45-49,780*-799*,349
1944,male,45-49,780*-799*,404
1945,male,45-49,780*-799*,337
1946,male,45-49,780*-799*,289
1947,male,45-49,780*-799*,304
1948,male,45-49,780*-799*,279
1949,male,45-49,780*-799*,258
1950,male,45-49,780*-799*,235
1951,male,45-49,780*-799*,241
1952,male,45-49,780*-799*,232
1953,male,45-49,780*-799*,228
1954,male,45-49,780*-799*,234
1955,male,45-49,780*-799*,204
1956,male,45-49,780*-799*,202
1957,male,45-49,780*-799*,199
1958,male,45-49,780*-799*,141
1959,male,45-49,780*-799*,141
1960,male,45-49,780*-799*,149
1961,male,45-49,780*-799*,138
1962,male,45-49,780*-799*,151
1963,male,45-49,780*-799*,162
1964,male,45-49,780*-799*,102
1965,male,45-49,780*-799*,156
1966,male,45-49,780*-799*,165
1967,male,45-49,780*-799*,194
1968,male,45-49,780*-799*,234
1969,male,45-49,780*-799*,254
1970,male,45-49,780*-799*,204
1971,male,45-49,780*-799*,176
1972,male,45-49,780*-799*,142
1973,male,45-49,780*-799*,128
1974,male,45-49,780*-799*,135
1975,male,45-49,780*-799*,148
1976,male,45-49,780*-799*,139
1977,male,45-49,780*-799*,136
1978,male,45-49,780*-799*,143
1979,male,45-49,780*-799*,107
1980,male,45-49,780*-799*,129
1981,male,45-49,780*-799*,107
1982,male,45-49,780*-799*,103
1983,male,45-49,780*-799*,118
1984,male,45-49,780*-799*,110
1985,male,45-49,780*-799*,104
1986,male,45-49,780*-799*,100
1987,male,45-49,780*-799*,102
1988,male,45-49,780*-799*,87
1989,male,45-49,780*-799*,77
1990,male,45-49,780*-799*,93
1991,male,45-49,780*-799*,81
1992,male,45-49,780*-799*,82
1993,male,45-49,780*-799*,90
1994,male,45-49,780*-799*,102
1995,male,45-49,780*-799*,118
1996,male,45-49,780*-799*,105
1997,male,45-49,780*-799*,124
1998,male,45-49,780*-799*,100
1999,male,45-49,780*-799*,143
1925,male,50-54,780*-799*,2446
1926,male,50-54,780*-799*,2068
1927,male,50-54,780*-799*,1045
1928,male,50-54,780*-799*,1028
1929,male,50-54,780*-799*,1148
1930,male,50-54,780*-799*,1042
1931,male,50-54,780*-799*,1105
1932,male,50-54,780*-799*,1089
1933,male,50-54,780*-799*,1185
1934,male,50-54,780*-799*,1305
1935,male,50-54,780*-799*,1459
1936,male,50-54,780*-799*,1395
1937,male,50-54,780*-799*,1578
1938,male,50-54,780*-799*,1881
1939,male,50-54,780*-799*,1987
1940,male,50-54,780*-799*,1347
1941,male,50-54,780*-799*,1111
1942,male,50-54,780*-799*,799
1943,male,50-54,780*-799*,427
1944,male,50-54,780*-799*,463
1945,male,50-54,780*-799*,360
1946,male,50-54,780*-799*,334
1947,male,50-54,780*-799*,294
1948,male,50-54,780*-799*,316
1949,male,50-54,780*-799*,299
1950,male,50-54,780*-799*,302
1951,male,50-54,780*-799*,321
1952,male,50-54,780*-799*,310
1953,male,50-54,780*-799*,341
1954,male,50-54,780*-799*,336
1955,male,50-54,780*-799*,308
1956,male,50-54,780*-799*,325
1957,male,50-54,780*-799*,300
1958,male,50-54,780*-799*,217
1959,male,50-54,780*-799*,240
1960,male,50-54,780*-799*,262
1961,male,50-54,780*-799*,276
1962,male,50-54,780*-799*,301
1963,male,50-54,780*-799*,349
1964,male,50-54,780*-799*,313
1965,male,50-54,780*-799*,324
1966,male,50-54,780*-799*,279
1967,male,50-54,780*-799*,262
1968,male,50-54,780*-799*,248
1969,male,50-54,780*-799*,235
1970,male,50-54,780*-799*,213
1971,male,50-54,780*-799*,265
1972,male,50-54,780*-799*,191
1973,male,50-54,780*-799*,212
1974,male,50-54,780*-799*,190
1975,male,50-54,780*-799*,174
1976,male,50-54,780*-799*,169
1977,male,50-54,780*-799*,173
1978,male,50-54,780*-799*,185
1979,male,50-54,780*-799*,166
1980,male,50-54,780*-799*,179
1981,male,50-54,780*-799*,145
1982,male,50-54,780*-799*,174
1983,male,50-54,780*-799*,189
1984,male,50-54,780*-799*,176
1985,male,50-54,780*-799*,154
1986,male,50-54,780*-799*,133
1987,male,50-54,780*-799*,175
1988,male,50-54,780*-799*,138
1989,male,50-54,780*-799*,124
1990,male,50-54,780*-799*,124
1991,male,50-54,780*-799*,104
1992,male,50-54,780*-799*,89
1993,male,50-54,780*-799*,95
1994,male,50-54,780*-799*,106
1995,male,50-54,780*-799*,94
1996,male,50-54,780*-799*,104
1997,male,50-54,780*-799*,113
1998,male,50-54,780*-799*,139
1999,male,50-54,780*-799*,165
1925,male,55-59,780*-799*,3104
1926,male,55-59,780*-799*,2468
1927,male,55-59,780*-799*,1222
1928,male,55-59,780*-799*,1306
1929,male,55-59,780*-799*,1439
1930,male,55-59,780*-799*,1364
1931,male,55-59,780*-799*,1522
1932,male,55-59,780*-799*,1545
1933,male,55-59,780*-799*,1721
1934,male,55-59,780*-799*,1835
1935,male,55-59,780*-799*,2023
1936,male,55-59,780*-799*,1876
1937,male,55-59,780*-799*,1819
1938,male,55-59,780*-799*,2052
1939,male,55-59,780*-799*,2217
1940,male,55-59,780*-799*,1705
1941,male,55-59,780*-799*,1329
1942,male,55-59,780*-799*,1005
1943,male,55-59,780*-799*,593
1944,male,55-59,780*-799*,582
1945,male,55-59,780*-799*,507
1946,male,55-59,780*-799*,448
1947,male,55-59,780*-799*,378
1948,male,55-59,780*-799*,348
1949,male,55-59,780*-799*,366
1950,male,55-59,780*-799*,319
1951,male,55-59,780*-799*,359
1952,male,55-59,780*-799*,330
1953,male,55-59,780*-799*,348
1954,male,55-59,780*-799*,328
1955,male,55-59,780*-799*,370
1956,male,55-59,780*-799*,396
1957,male,55-59,780*-799*,370
1958,male,55-59,780*-799*,295
1959,male,55-59,780*-799*,318
1960,male,55-59,780*-799*,328
1961,male,55-59,780*-799*,332
1962,male,55-59,780*-799*,434
1963,male,55-59,780*-799*,483
1964,male,55-59,780*-799*,450
1965,male,55-59,780*-799*,491
1966,male,55-59,780*-799*,446
1967,male,55-59,780*-799*,458
1968,male,55-59,780*-799*,486
1969,male,55-59,780*-799*,547
1970,male,55-59,780*-799*,436
1971,male,55-59,780*-799*,330
1972,male,55-59,780*-799*,203
1973,male,55-59,780*-799*,173
1974,male,55-59,780*-799*,149
1975,male,55-59,780*-799*,142
1976,male,55-59,780*-799*,165
1977,male,55-59,780*-799*,174
1978,male,55-59,780*-799*,226
1979,male,55-59,780*-799*,201
1980,male,55-59,780*-799*,179
1981,male,55-59,780*-799*,205
1982,male,55-59,780*-799*,214
1983,male,55-59,780*-799*,255
1984,male,55-59,780*-799*,239
1985,male,55-59,780*-799*,222
1986,male,55-59,780*-799*,206
1987,male,55-59,780*-799*,223
1988,male,55-59,780*-799*,183
1989,male,55-59,780*-799*,196
1990,male,55-59,780*-799*,172
1991,male,55-59,780*-799*,129
1992,male,55-59,780*-799*,152
1993,male,55-59,780*-799*,138
1994,male,55-59,780*-799*,133
1995,male,55-59,780*-799*,144
1996,male,55-59,780*-799*,128
1997,male,55-59,780*-799*,111
1998,male,55-59,780*-799*,120
1999,male,55-59,780*-799*,137
1925,male,60-64,780*-799*,3828
1926,male,60-64,780*-799*,3229
1927,male,60-64,780*-799*,1694
1928,male,60-64,780*-799*,1777
1929,male,60-64,780*-799*,1886
1930,male,60-64,780*-799*,1745
1931,male,60-64,780*-799*,1781
1932,male,60-64,780*-799*,1817
1933,male,60-64,780*-799*,2074
1934,male,60-64,780*-799*,2252
1935,male,60-64,780*-799*,2551
1936,male,60-64,780*-799*,2549
1937,male,60-64,780*-799*,2863
1938,male,60-64,780*-799*,3260
1939,male,60-64,780*-799*,3587
1940,male,60-64,780*-799*,2164
1941,male,60-64,780*-799*,1654
1942,male,60-64,780*-799*,1222
1943,male,60-64,780*-799*,791
1944,male,60-64,780*-799*,758
1945,male,60-64,780*-799*,702
1946,male,60-64,780*-799*,583
1947,male,60-64,780*-799*,499
1948,male,60-64,780*-799*,508
1949,male,60-64,780*-799*,475
1950,male,60-64,780*-799*,428
1951,male,60-64,780*-799*,411
1952,male,60-64,780*-799*,395
1953,male,60-64,780*-799*,381
1954,male,60-64,780*-799*,362
1955,male,60-64,780*-799*,379
1956,male,60-64,780*-799*,390
1957,male,60-64,780*-799*,369
1958,male,60-64,780*-799*,278
1959,male,60-64,780*-799*,353
1960,male,60-64,780*-799*,433
1961,male,60-64,780*-799*,385
1962,male,60-64,780*-799*,536
1963,male,60-64,780*-799*,587
1964,male,60-64,780*-799*,546
1965,male,60-64,780*-799*,601
1966,male,60-64,780*-799*,571
1967,male,60-64,780*-799*,693
1968,male,60-64,780*-799*,693
1969,male,60-64,780*-799*,805
1970,male,60-64,780*-799*,582
1971,male,60-64,780*-799*,588
1972,male,60-64,780*-799*,424
1973,male,60-64,780*-799*,366
1974,male,60-64,780*-799*,325
1975,male,60-64,780*-799*,248
1976,male,60-64,780*-799*,223
1977,male,60-64,780*-799*,215
1978,male,60-64,780*-799*,189
1979,male,60-64,780*-799*,146
1980,male,60-64,780*-799*,167
1981,male,60-64,780*-799*,218
1982,male,60-64,780*-799*,236
1983,male,60-64,780*-799*,282
1984,male,60-64,780*-799*,310
1985,male,60-64,780*-799*,312
1986,male,60-64,780*-799*,286
1987,male,60-64,780*-799*,275
1988,male,60-64,780*-799*,235
1989,male,60-64,780*-799*,259
1990,male,60-64,780*-799*,271
1991,male,60-64,780*-799*,240
1992,male,60-64,780*-799*,229
1993,male,60-64,780*-799*,208
1994,male,60-64,780*-799*,199
1995,male,60-64,780*-799*,195
1996,male,60-64,780*-799*,207
1997,male,60-64,780*-799*,191
1998,male,60-64,780*-799*,198
1999,male,60-64,780*-799*,186
1925,male,65-69,780*-799*,5247
1926,male,65-69,780*-799*,4594
1927,male,65-69,780*-799*,2719
1928,male,65-69,780*-799*,2755
1929,male,65-69,780*-799*,2898
1930,male,65-69,780*-799*,2648
1931,male,65-69,780*-799*,2820
1932,male,65-69,780*-799*,2989
1933,male,65-69,780*-799*,3057
1934,male,65-69,780*-799*,3216
1935,male,65-69,780*-799*,3535
1936,male,65-69,780*-799*,3505
1937,male,65-69,780*-799*,3413
1938,male,65-69,780*-799*,4017
1939,male,65-69,780*-799*,5112
1940,male,65-69,780*-799*,3346
1941,male,65-69,780*-799*,2548
1942,male,65-69,780*-799*,2031
1943,male,65-69,780*-799*,1209
1944,male,65-69,780*-799*,1261
1945,male,65-69,780*-799*,1020
1946,male,65-69,780*-799*,914
1947,male,65-69,780*-799*,729
1948,male,65-69,780*-799*,687
1949,male,65-69,780*-799*,692
1950,male,65-69,780*-799*,644
1951,male,65-69,780*-799*,645
1952,male,65-69,780*-799*,588
1953,male,65-69,780*-799*,606
1954,male,65-69,780*-799*,555
1955,male,65-69,780*-799*,561
1956,male,65-69,780*-799*,531
1957,male,65-69,780*-799*,497
1958,male,65-69,780*-799*,394
1959,male,65-69,780*-799*,398
1960,male,65-69,780*-799*,415
1961,male,65-69,780*-799*,419
1962,male,65-69,780*-799*,624
1963,male,65-69,780*-799*,700
1964,male,65-69,780*-799*,671
1965,male,65-69,780*-799*,751
1966,male,65-69,780*-799*,753
1967,male,65-69,780*-799*,851
1968,male,65-69,780*-799*,883
1969,male,65-69,780*-799*,1059
1970,male,65-69,780*-799*,838
1971,male,65-69,780*-799*,768
1972,male,65-69,780*-799*,592
1973,male,65-69,780*-799*,511
1974,male,65-69,780*-799*,464
1975,male,65-69,780*-799*,413
1976,male,65-69,780*-799*,398
1977,male,65-69,780*-799*,375
1978,male,65-69,780*-799*,399
1979,male,65-69,780*-799*,313
1980,male,65-69,780*-799*,291
1981,male,65-69,780*-799*,284
1982,male,65-69,780*-799*,267
1983,male,65-69,780*-799*,316
1984,male,65-69,780*-799*,238
1985,male,65-69,780*-799*,274
1986,male,65-69,780*-799*,290
1987,male,65-69,780*-799*,314
1988,male,65-69,780*-799*,315
1989,male,65-69,780*-799*,361
1990,male,65-69,780*-799*,331
1991,male,65-69,780*-799*,346
1992,male,65-69,780*-799*,308
1993,male,65-69,780*-799*,283
1994,male,65-69,780*-799*,286
1995,male,65-69,780*-799*,302
1996,male,65-69,780*-799*,283
1997,male,65-69,780*-799*,269
1998,male,65-69,780*-799*,260
1999,male,65-69,780*-799*,265
1925,male,70-74,780*-799*,6487
1926,male,70-74,780*-799*,5856
1927,male,70-74,780*-799*,3981
1928,male,70-74,780*-799*,3950
1929,male,70-74,780*-799*,4207
1930,male,70-74,780*-799*,4863
1931,male,70-74,780*-799*,5300
1932,male,70-74,780*-799*,5172
1933,male,70-74,780*-799*,5351
1934,male,70-74,780*-799*,5284
1935,male,70-74,780*-799*,5728
1936,male,70-74,780*-799*,5778
1937,male,70-74,780*-799*,5799
1938,male,70-74,780*-799*,6614
1939,male,70-74,780*-799*,7463
1940,male,70-74,780*-799*,4850
1941,male,70-74,780*-799*,3687
1942,male,70-74,780*-799*,3286
1943,male,70-74,780*-799*,2597
1944,male,70-74,780*-799*,2614
1945,male,70-74,780*-799*,2238
1946,male,70-74,780*-799*,2008
1947,male,70-74,780*-799*,1835
1948,male,70-74,780*-799*,1688
1949,male,70-74,780*-799*,1814
1950,male,70-74,780*-799*,1610
1951,male,70-74,780*-799*,1638
1952,male,70-74,780*-799*,1076
1953,male,70-74,780*-799*,1048
1954,male,70-74,780*-799*,946
1955,male,70-74,780*-799*,939
1956,male,70-74,780*-799*,939
1957,male,70-74,780*-799*,861
1958,male,70-74,780*-799*,697
1959,male,70-74,780*-799*,668
1960,male,70-74,780*-799*,644
1961,male,70-74,780*-799*,601
1962,male,70-74,780*-799*,749
1963,male,70-74,780*-799*,848
1964,male,70-74,780*-799*,770
1965,male,70-74,780*-799*,799
1966,male,70-74,780*-799*,798
1967,male,70-74,780*-799*,864
1968,male,70-74,780*-799*,1017
1969,male,70-74,780*-799*,1162
1970,male,70-74,780*-799*,1093
1971,male,70-74,780*-799*,1008
1972,male,70-74,780*-799*,815
1973,male,70-74,780*-799*,689
1974,male,70-74,780*-799*,639
1975,male,70-74,780*-799*,597
1976,male,70-74,780*-799*,548
1977,male,70-74,780*-799*,582
1978,male,70-74,780*-799*,553
1979,male,70-74,780*-799*,468
1980,male,70-74,780*-799*,526
1981,male,70-74,780*-799*,537
1982,male,70-74,780*-799*,549
1983,male,70-74,780*-799*,758
1984,male,70-74,780*-799*,594
1985,male,70-74,780*-799*,514
1986,male,70-74,780*-799*,436
1987,male,70-74,780*-799*,363
1988,male,70-74,780*-799*,328
1989,male,70-74,780*-799*,282
1990,male,70-74,780*-799*,295
1991,male,70-74,780*-799*,312
1992,male,70-74,780*-799*,364
1993,male,70-74,780*-799*,404
1994,male,70-74,780*-799*,414
1995,male,70-74,780*-799*,427
1996,male,70-74,780*-799*,493
1997,male,70-74,780*-799*,448
1998,male,70-74,780*-799*,419
1999,male,70-74,780*-799*,516
1925,male,75-79,780*-799*,8740
1926,male,75-79,780*-799*,8318
1927,male,75-79,780*-799*,6867
1928,male,75-79,780*-799*,6855
1929,male,75-79,780*-799*,7550
1930,male,75-79,780*-799*,5251
1931,male,75-79,780*-799*,5723
1932,male,75-79,780*-799*,5476
1933,male,75-79,780*-799*,5610
1934,male,75-79,780*-799*,5632
1935,male,75-79,780*-799*,5958
1936,male,75-79,780*-799*,5913
1937,male,75-79,780*-799*,6028
1938,male,75-79,780*-799*,6803
1939,male,75-79,780*-799*,7736
1940,male,75-79,780*-799*,5950
1941,male,75-79,780*-799*,4617
1942,male,75-79,780*-799*,4122
1943,male,75-79,780*-799*,2943
1944,male,75-79,780*-799*,2892
1945,male,75-79,780*-799*,2441
1946,male,75-79,780*-799*,2063
1947,male,75-79,780*-799*,1947
1948,male,75-79,780*-799*,1837
1949,male,75-79,780*-799*,2096
1950,male,75-79,780*-799*,1927
1951,male,75-79,780*-799*,2157
1952,male,75-79,780*-799*,2265
1953,male,75-79,780*-799*,2282
1954,male,75-79,780*-799*,2056
1955,male,75-79,780*-799*,1973
1956,male,75-79,780*-799*,1803
1957,male,75-79,780*-799*,1570
1958,male,75-79,780*-799*,1319
1959,male,75-79,780*-799*,1252
1960,male,75-79,780*-799*,1231
1961,male,75-79,780*-799*,1219
1962,male,75-79,780*-799*,1364
1963,male,75-79,780*-799*,1429
1964,male,75-79,780*-799*,1298
1965,male,75-79,780*-799*,1269
1966,male,75-79,780*-799*,1168
1967,male,75-79,780*-799*,1109
1968,male,75-79,780*-799*,1263
1969,male,75-79,780*-799*,1340
1970,male,75-79,780*-799*,1161
1971,male,75-79,780*-799*,1172
1972,male,75-79,780*-799*,907
1973,male,75-79,780*-799*,861
1974,male,75-79,780*-799*,755
1975,male,75-79,780*-799*,798
1976,male,75-79,780*-799*,777
1977,male,75-79,780*-799*,778
1978,male,75-79,780*-799*,752
1979,male,75-79,780*-799*,699
1980,male,75-79,780*-799*,725
1981,male,75-79,780*-799*,784
1982,male,75-79,780*-799*,817
1983,male,75-79,780*-799*,1171
1984,male,75-79,780*-799*,855
1985,male,75-79,780*-799*,859
1986,male,75-79,780*-799*,765
1987,male,75-79,780*-799*,720
1988,male,75-79,780*-799*,605
1989,male,75-79,780*-799*,662
1990,male,75-79,780*-799*,556
1991,male,75-79,780*-799*,510
1992,male,75-79,780*-799*,407
1993,male,75-79,780*-799*,416
1994,male,75-79,780*-799*,349
1995,male,75-79,780*-799*,411
1996,male,75-79,780*-799*,516
1997,male,75-79,780*-799*,565
1998,male,75-79,780*-799*,508
1999,male,75-79,780*-799*,742
1925,male,80-84,780*-799*,9849
1926,male,80-84,780*-799*,9479
1927,male,80-84,780*-799*,8665
1928,male,80-84,780*-799*,8254
1929,male,80-84,780*-799*,9251
1930,male,80-84,780*-799*,8355
1931,male,80-84,780*-799*,9429
1932,male,80-84,780*-799*,9408
1933,male,80-84,780*-799*,9575
1934,male,80-84,780*-799*,8951
1935,male,80-84,780*-799*,9318
1936,male,80-84,780*-799*,8990
1937,male,80-84,780*-799*,8128
1938,male,80-84,780*-799*,8850
1939,male,80-84,780*-799*,9206
1940,male,80-84,780*-799*,9167
1941,male,80-84,780*-799*,7139
1942,male,80-84,780*-799*,6870
1943,male,80-84,780*-799*,5848
1944,male,80-84,780*-799*,5946
1945,male,80-84,780*-799*,5176
1946,male,80-84,780*-799*,4619
1947,male,80-84,780*-799*,4619
1948,male,80-84,780*-799*,4432
1949,male,80-84,780*-799*,5138
1950,male,80-84,780*-799*,4823
1951,male,80-84,780*-799*,5028
1952,male,80-84,780*-799*,3604
1953,male,80-84,780*-799*,3842
1954,male,80-84,780*-799*,3419
1955,male,80-84,780*-799*,3442
1956,male,80-84,780*-799*,3461
1957,male,80-84,780*-799*,3041
1958,male,80-84,780*-799*,2718
1959,male,80-84,780*-799*,2601
1960,male,80-84,780*-799*,2485
1961,male,80-84,780*-799*,2308
1962,male,80-84,780*-799*,2487
1963,male,80-84,780*-799*,2431
1964,male,80-84,780*-799*,2132
1965,male,80-84,780*-799*,2122
1966,male,80-84,780*-799*,1915
1967,male,80-84,780*-799*,1889
1968,male,80-84,780*-799*,1908
1969,male,80-84,780*-799*,1832
1970,male,80-84,780*-799*,1798
1971,male,80-84,780*-799*,1568
1972,male,80-84,780*-799*,1262
